ID 	How_often	Work_Din	Aperitif	Rom_Din	Spec_Occ	Place	Reasons	Meaning	Percept	Pl_Origin	W_Brand	Price	Pack	Quality	Info_lab	Sal_rec	F_rec	Provenance	Tech_inf	D_taste	Fbsw	Brand	History	Loyalty	Unloyal	List_Adv	G_info	Fr_rec	M_C_P	M_C_I_P	Know_it	Tried_w	Why_it_w	J_I_P	IT_Vs_Am	Dryness	Sweet	Oak	Fruity	Still	Spark	Red	White	D_of_B	Today	Age	Sex	Ed_level	City	Area 	Urb_rur	Home_con	Sp_occ	Gift	Format	It_brands	Job
385	5	5	5	5	5	2	1	2	2	4	4	4	3	5	4	4	4	4	2	3	3	3	2	2	3	2	2	4	2	5	1	1	3	3	2	4	1	4	3	5	NA	5	NA	14/2/1953	04/06/2014	61	2	3	32	3	1	2	3	3	2	2	1
386	3	4	3	5	4	4	1	4	2	4	3	4	3	5	3	3	4	5	5	4	4	4	4	3	3	4	2	4	3	1	1	1	3	2	2	4	3	4	4	4	3	5	3	18/5/1970	04/06/2014	44	1	3	3	3	1	1	3	2	1	1	1
387	6	5	5	5	5	4	1	2	2	5	4	3	2	5	4	2	4	5	5	4	3	4	2	1	4	1	5	3	3	2	1	1	3	2	2	5	1	3	4	5	5	5	5	27/4/1943	04/06/2014	71	1	5	3	3	1	2	3	3	1	2	6
388	6	4	5	5	5	1	1	1	2	5	3	3	3	5	4	4	4	5	4	3	4	3	4	1	5	3	3	4	2	1	1	1	2	2	1	4	2	1	2	5	5	5	5	29/12/1960	04/06/2014	53	2	3	3	3	1	2	3	3	1	3	3
389	4	2	4	5	5	1	1	2	2	4	4	4	2	5	2	4	4	4	3	3	3	4	3	3	5	4	2	4	1	4	2	1	2	2	2	4	1	4	1	2	1	5	5	6/8/1941	04/06/2014	73	1	3	3	3	1	1	3	2	1	5	1
390	6	2	5	5	5	1	1	2	2	4	3	5	3	5	5	4	4	4	4	4	3	3	4	1	4	3	2	3	2	2	1	1	1	2	2	5	1	4	3	4	4	5	4	26/4/1961	04/06/2014	53	2	3	3	3	1	1	3	2	1	1	2
391	6	2	5	5	5	1	1	2	2	2	2	5	2	5	5	5	5	4	2	5	4	2	1	3	4	5	5	5	1	4	1	1	2	3	2	3	2	4	5	4	3	5	2	11/9/1951	04/06/2014	63	2	4	3	3	1	1	3	3	1	7	3
392	5	5	5	5	5	1	1	1	2	4	5	3	1	5	1	1	4	5	1	1	1	5	1	1	4	1	5	4	2	2	1	1	1	2	2	5	5	2	4	5	4	5	4	5/8/1950	04/06/2014	64	1	5	3	3	1	3	3	3	1	3	6
393	4	3	5	5	5	1	1	2	2	4	2	4	1	5	3	4	3	3	2	5	5	1	1	2	4	4	1	3	3	1	1	1	3	2	2	4	1	4	3	5	4	3	4	22/7/1991	04/06/2014	23	2	4	32	3	1	1	2	3	1	1	8
394	6	3	4	5	5	1	1	2	2	4	4	4	3	5	3	3	4	5	4	3	3	3	3	2	4	3	3	4	3	1	1	1	3	2	2	4	2	2	3	4	4	4	4	22/12/1968	04/06/2014	45	2	5	3	3	1	2	3	3	1	1	1
